"analysisId","outcomeId","exposureId","z","events","database","look","method"
2,622,1082,19,1389.75,"CCAE",2,"SCCS"
2,2763,1082,19.1612903225806,3826.275,"CCAE",2,"SCCS"
2,2795,1082,19.0803212851406,2381.7,"CCAE",2,"SCCS"
2,1075,1082,19.2429149797571,141.525,"CCAE",2,"SCCS"
2,3074,1082,19.2020202020202,580.125,"CCAE",2,"SCCS"
2,3075,1082,19.2020202020202,515.1,"CCAE",2,"SCCS"
2,1079,1082,19.4081632653061,70.125,"CCAE",2,"SCCS"
2,1308,1082,19.2429149797571,79.05,"CCAE",2,"SCCS"
3,3755,1082,9.18329938900204,510,"CCAE",2,"SCCS"
3,620,1082,8.54198473282443,6.375,"CCAE",2,"SCCS"
3,5831,1082,NA,NA,"CCAE",2,"SCCS"
3,5830,1082,8.54198473282443,6.375,"CCAE",2,"SCCS"
3,3619,1082,9.07049345417926,1444.575,"CCAE",2,"SCCS"
3,1068,1082,9.11122345803842,1045.5,"CCAE",2,"SCCS"
3,3892,1082,9.01001001001001,494.7,"CCAE",2,"SCCS"
3,1075,1082,9.21450459652707,141.525,"CCAE",2,"SCCS"
3,5832,1082,8.74658869395711,85.425,"CCAE",2,"SCCS"
3,3599,1082,9.11122345803842,2315.4,"CCAE",2,"SCCS"
3,635,1082,9.12145748987854,752.25,"CCAE",2,"SCCS"
3,5827,1082,8.67117988394584,16.575,"CCAE",2,"SCCS"
3,5825,1082,9.13171225937183,730.575,"CCAE",2,"SCCS"
3,601,1082,8.47867298578199,10.2,"CCAE",2,"SCCS"
3,609,1082,8.97008973080758,21.675,"CCAE",2,"SCCS"
3,369,1082,9.03009027081244,937.125,"CCAE",2,"SCCS"
3,3815,1082,9.05025125628141,149.175,"CCAE",2,"SCCS"
3,2823,1082,8.11577028258888,6.375,"CCAE",2,"SCCS"
3,1079,1082,9.33057851239669,70.125,"CCAE",2,"SCCS"
3,3803,1082,8.99000999000999,395.25,"CCAE",2,"SCCS"
3,1308,1082,9.22494887525562,79.05,"CCAE",2,"SCCS"
3,1148,1082,9.4602510460251,43.35,"CCAE",2,"SCCS"
3,624,1082,9.05025125628141,474.3,"CCAE",2,"SCCS"
3,5829,1082,8.41619585687382,16.575,"CCAE",2,"SCCS"
3,5828,1082,9.07049345417926,457.725,"CCAE",2,"SCCS"
3,2453,1082,9.15228426395939,1471.35,"CCAE",2,"SCCS"
3,366,1082,9.58201058201058,10.2,"CCAE",2,"SCCS"
3,1122,1082,9,51,"CCAE",2,"SCCS"
3,1125,1082,8.46969696969697,34.425,"CCAE",2,"SCCS"
3,1126,1082,7.31946755407654,8.925,"CCAE",2,"SCCS"
4,3073,1082,5.7842605156038,290.7,"CCAE",2,"SCCS"
4,5752,1082,5.6711140760507,58.65,"CCAE",2,"SCCS"
4,5520,1082,5.19195046439628,8.925,"CCAE",2,"SCCS"
4,3072,1082,5.93000693000693,21.675,"CCAE",2,"SCCS"
4,5760,1082,5.76132521974307,45.9,"CCAE",2,"SCCS"
4,609,1082,5.77506775067751,21.675,"CCAE",2,"SCCS"
4,1077,1082,5.57894736842105,62.475,"CCAE",2,"SCCS"
4,5522,1082,5.72043010752688,22.95,"CCAE",2,"SCCS"
4,5754,1082,5.93000693000693,20.4,"CCAE",2,"SCCS"
4,627,1082,5.71140939597315,70.125,"CCAE",2,"SCCS"
4,5639,1082,5.85871056241427,10.2,"CCAE",2,"SCCS"
4,5768,1082,5.7842605156038,26.775,"CCAE",2,"SCCS"
4,5761,1082,5.74763832658569,7.65,"CCAE",2,"SCCS"
4,2927,1082,5.69792364367046,948.6,"CCAE",2,"SCCS"
4,610,1082,5.8212824010914,28.05,"CCAE",2,"SCCS"
5,576,1082,2.31564986737401,4870.5,"CCAE",2,"SCCS"
5,5767,1082,2.22997416020672,31.875,"CCAE",2,"SCCS"
5,2764,1082,2.34560053529609,1295.4,"CCAE",2,"SCCS"
5,3019,1082,2.16555872111428,89.25,"CCAE",2,"SCCS"
5,611,1082,2.27011118378025,184.875,"CCAE",2,"SCCS"
6,345,1082,399,584.545,"CCAE",2,"SCCS"
7,2796,1082,83.0336134453782,381.225,"CCAE",2,"SCCS"
7,622,1082,85.2068965517241,3797.885,"CCAE",2,"SCCS"
7,2763,1082,86.719298245614,12343.955,"CCAE",2,"SCCS"
7,2795,1082,86.719298245614,7393.555,"CCAE",2,"SCCS"
7,1075,1082,87.4955752212389,381.225,"CCAE",2,"SCCS"
